timestamp,contributor,consumer_resource_pair,genus,species,ecosystem,interaction_system,consumer_type,speed,speed_units,turning_interval,turning_interval_units,generation_time,generation_time_units,consumption_rate,consumption_rate_units,mortality_rate,mortality_rate_units,consumer_body_size,consumer_body_size_units,consumer_body_mass,consumer_body_mass_units,patch_duration,patch_duration_units,patch_length_scale,patch_length_scale_units,resource_body_size,resource_body_size_units,resource_body_mass,resource_body_mass_units,resource_density,resource_density_units,consumer_density,consumer_density_units,tsearch,tsearch_units,tconsumption,tconsumption_units,tsearch_diff,tsearch_diff_units,tsearch_dir,tsearch_dir_units,treprod,treprod_units,Fr_diff,Fr_dir,Str,Le
1/15/2019 17:19,Sam,Fur seals - Pollock,Callorhinus,ursinus,Marine,pelagic,predator,3.5,m s^-1,1,minute,4,yr,3,kg d^-1 seal^-1,NA,NA,2,m,12e4,g,43200,s,300,m,0.1,m,10,g,3,kg superpatch^-1,2,seal superpatch^-1,NA,NA,43200,s,122.44897959183673,s,85.71428571428571,s,126144e3,s,352.8,504.00000000000006,0.00034246575342465754,1
1/16/2019 10:44,Celia,Dung beetle - Dung,Circellium,bacchus,Terrestrial,grassland,detritovore,0.05,m s^-1,NA,NA,6,mo,0.91,g beetle^-1 minute^-1,0.1,yr^-1,36,mm,6.1,g,8709120,s,32,m,0.25,m,5620,g,5620,g turd^-1,1,beetle turd^-1,NA,NA,370549.4505494505,s,NA,NA,640,s,15552e3,s,NA,13608,0.56,23.50325978647687
1/17/2019 11:45,Celia,Caterpillar - Kale plants,Pieris,rapae,Terrestrial,temperate,grazer,0.2,cm s^-1,6,minute,32,d,0.405,g caterpillar^-1 minute^-1,NA,NA,30,mm,0.135,g,1296e4,s,1,m,0.4,m,900,g,100,g plant^-1,100,caterpillar plant^-1,NA,NA,148.14814814814815,s,694.4444444444443,s,500,s,2764800,s,18662.4,25920,4.6875,87480
1/22/2019 12:52,Jenna,Eastern gray squirrel - Red oak acorn,Sciurus,carolinensis,Terrestrial,deciduous forest,granivore,50,cm s^-1,10,s,1.25,yr,0.00605,acorn s^-1 squirrel^-1,0.3,yr^-1,26,cm,500,g,7776e3,s,8.3,m,0.026000000000000002,m,6,g,1e3,nut tree^-1,0.03,squirrel tree^-1,NA,NA,25275.6,s,27.556000000000004,s,16.6,s,3942e4,s,282188.996951662,468433.734939759,0.19726027397260273,307.64848312206243
1/23/2019 9:36,Sam,Ctenophores - Copepods,Bolinopsis,spp.,Marine,epipelagic,predator,0.7,cm s^-1,10,s,7.75,d,10,copepod ctenophore^-1 hr^-1,NA,NA,4,cm,10,g,432e3,s,4e3,m,0.001,m,5e-5,g,2e4,copepod m^-3,50,ctenophore m^-3,NA,NA,144e3,s,32653061224.4898,s,571428.5714285715,s,669600,s,13229999999999999e-21,0.7559999999999999,0.6451612903225806,3
1/23/2019 10:41,Sam,Copepods - Phytoplankton thin layers,Acartia,tonsa,Marine,epipelagic,grazer,1.42,mm s^-1,1.25,s,20,d,4e4,cell copepod^-1 d^-1,NA,NA,1,mm,5e-5,g,604800,s,4e3,m,1e-4,m,3e-9,g,1e3,cell mL^-1,2e4,ctenophore m^-3,NA,NA,108000.00000000001,s,6347946835945.248,s,2816901.4084507045,s,1728e3,s,9527490000000002e-23,0.21470399999999998,0.35,5.6
1/23/2019 16:39,Celia,Caddisfly - Periphyton on cobble stones,Dicosmoecus,gilvipes,Freshwater (riverine),lentic,grazer,50,cm minute^-1,15,s,1,yr,33e-8,g caddisfly^-1 hr^-1,0.008,wk^-1,2,cm,0.14,g,10540800,s,0.19,m,0.16,m,40,g,123e-7,g cm^-2,70,caddisfly m^-2,NA,NA,19168831.168831166,s,34.656,s,22.8,s,31536e3,s,304155.1246537396,462315.7894736842,0.33424657534246577,0.5498926829268294
1/25/2019 16:26,Sam,Fruit flies - Marula fruit,Drosophila,melanogaster,Terrestrial,grassland,detritovore,30,cm s^-1,1,s,15,d,2e-6,g d^-1 fly^-1,NA,NA,2.5,mm,0.001,g,7776e3,s,146,m,0.037,m,25,g,14,kg tree^-1,1e4,fly tree^-1,NA,NA,6048e7,s,236844.44444444444,s,486.66666666666663,s,1296e3,s,32.831675736535935,15978.082191780823,6,0.00012857142857142858
1/28/2019 15:12,Jenna,Pisaster sea star- Mussels,Pisaster,ochraceus,Marine,intertidal,predator,1.67,m hr^-1,10,minute,6,yr,80,mussel seastar^-1 yr^-1,0.8,yr^-1,20,cm,192,g,283824e3,s,250,m,0.06,m,30,g,250,mussel m^-2,16.5,seastar m^-2,NA,NA,5972727.2727272725,s,484061816.4867869,s,538922.1556886227,s,189216e3,s,0.586338336,526.6512,1.5,47.52
1/31/2019 23:05,Alli,Beaver - Maple (5cm),Castor,Canadensis,Terrestrial,riparian,grazer,28,m minute^-1,NA,NA,5.4,yr,0.00667,tree beaver^-1 s^-1,0.3,yr^-1,65,cm,21e3,g,70145524.8,s,50,m,7.7,m,13e3,g,0.18,tree m^-2,2.6,beaver km^-2,7e3,s,10379425.671779495,s,NA,NA,7e3,s,170294400,s,NA,10020.789257142857,0.4119074074074074,6.75813161712
1/31/2019 23:11,Alli,Beaver - Maple Tree (4cm),Castor,Canadensis,Terrestrial,riparian,grazer,28,m minute^-1,NA,NA,5.4,yr,0.0143,tree beaver^-1 s^-1,0.3,yr^-1,65,cm,21e3,g,70933924.8,s,50,m,6.4,m,8e3,g,0.18,tree m^-2,2.6,beaver km^-2,7e3,s,4841312.533620224,s,NA,NA,7e3,s,170294400,s,NA,10133.417828571428,0.41653703703703704,14.651796244800003
1/31/2019 23:18,Alli,Beaver - Maple (3cm),Castor,Canadensis,Terrestrial,riparian,grazer,28,m minute^-1,NA,NA,5.4,yr,0.04,tree beaver^-1 s^-1,0.3,yr^-1,65,cm,21e3,g,71722324.80000001,s,50,m,5,m,4e3,g,0.18,tree m^-2,2.6,beaver km^-2,7e3,s,1730769.2307692305,s,NA,NA,7e3,s,170294400,s,NA,10246.046400000001,0.42116666666666674,41.43956544000001
1/31/2019 23:26,Alli,Killer whale - Chinook salmon,Orcinus,orca,Marine,pelagic,predator,1.6,m s^-1,NA,NA,24,yr,1e3,fish d^-1 whale^-1,0.03,yr^-1,8,m,5e6,g,1200,s,500,m,0.7000000000000001,m,1e4,g,0.05,fish m^-3,12e-7,whale m^-3,40,minute,3600000.0000000005,s,NA,NA,2400,s,756864e3,s,NA,0.5,15854895991882293e-22,0.00033333333333333327
2/4/2019 14:11,Celia,Beach mouse - Dune vegetation seeds,Peromyscus,polionotus leucocephalus,Terrestrial,terrestrial,granivore,11.4,km hr^-1,NA,NA,26,d,14,seed d^-1 mouse^-1,0.805,yr^-1,139,mm,12.5,g,31536e5,s,15,m,0.003,m,0.0042,g,270,seed m^-2,8,mouse ha^-1,NA,NA,2082857142.8571427,s,NA,NA,4.7368421052631575,s,2246400,s,NA,66576e4,1403.8461538461538,1.5140740740740741
3/1/2019 12:15,Sam,Marine bacteria - Nutrients,Pseudoalteromonas,haloplanktis,Marine,epipelagic,detritovore,87e-6,m s^-1,0.25,s,3,hr,NA,NA,NA,NA,0.0024,mm,1e-11,g,900,s,0.04,m,1e-10,m,1e-22,g,567e-6,mol L^-1,1e4,bacteria mL^-1,NA,NA,900,s,845554.2343770644,s,459.7701149425288,s,10800,s,0.001064390625,1.9574999999999998,0.08333333333333333,1
3/4/2019 17:41,Jenna,Wolf - Moose,Canis,Lupus,Terrestrial,temperate,predator,0.4,km hr^-1,NA,NA,22,mo,NA,NA,0.23,yr^-1,1,m,42600,g,504576e3,s,53200,m,2.8,m,4e5,g,0.2,moose km^-2,0.0035,wolf km^-2,5.6,d,345600,s,NA,NA,483839.99999999994,s,57024e3,s,NA,1042.857142857143,8.848484848484848,1460
3/7/2019 16:52,Sam,Mongolian gazelle - Vegetation,Procapra,gutturosa,Terrestrial,grassland,grazer,8.2,km d^-1,1,d,2,yr,5,g gazelle^-1 minute^-1,NA,NA,1.5,m,28e3,g,2592e3,s,2e4,m,0.6,m,7,g,20,g m^-2,281,gazelle km^-2,NA,NA,854092.5266903914,s,513979.7739440809,s,210731.70731707322,s,63072e3,s,5.043,12.299999999999997,0.0410958904109589,3.0348
11/19/2018 2:17,Simon,Bosmina - diatoms,Bosmina,propinqua,Freshwater (lake),pelagic,grazer,0.8,mm s^-1,6.7,s,12.5,hr,168,cell cladoceran^-1 d^-1,NA,NA,0.5,mm,2e-5,g,518400,s,1e3,m,1e-4,m,5e-9,g,21,cell mL^-1,252,cladoceran m^-3,NA,NA,42857142.85714286,s,233208955223.88055,s,125e4,s,45e3,s,22228992000000004e-22,0.41472,11.52,0.012095999999999999
